City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,newnham,-41.3833,147.1333,52.75,62,78,19.57,AU,1724890795
84,dudinka,69.4058,86.1778,49.93,94,97,7.27,RU,1724890796
85,queenstown,-31.8976,26.8753,32.41,64,2,4.27,ZA,1724890796
86,bhum,18.4667,75.6667,71.44,91,87,7.2,IN,1724890796
87,nar'yan-mar,67.6713,53.087,45.37,91,77,12.77,RU,1724890733
88,zouerate,22.7187,-12.4521,87.46,22,3,15.43,MR,1724890796
89,nova sintra,14.8667,-24.7167,80.08,82,53,9.98,CV,1724890796
90,puerto baquerizo moreno,-0.9,-89.6,67.84,93,51,11.41,EC,1724890797
91,dzilam gonzalez,21.2833,-88.9333,78.44,92,99,4.85,MX,1724890797
92,colesberg,-30.72,25.0972,32.88,53,0,7.7,ZA,1724890797
93,puerto natales,-51.7236,-72.4875,38.93,74,83,15.26,CL,1724890721
94,jalai nur,49.45,117.7,59.88,71,100,11.23,CN,1724890797
95,oriximina,-1.7656,-55.8661,84.29,54,44,2.91,BR,1724890797
96,arraial do cabo,-22.9661,-42.0278,60.76,100,40,2.3,BR,1724890797
97,utrik,11.2278,169.8474,83.25,74,67,7.54,MH,1724890732
98,malanje,-9.5402,16.341,66.51,71,7,5.93,AO,1724890798
99,cole harbour,44.6724,-63.4751,62.92,95,75,24.16,CA,1724890798
100,sao joao da barra,-21.6403,-41.0511,64.49,65,0,9.86,BR,1724890726
101,ushuaia,-54.8,-68.3,31.66,100,100,5.75,AR,1724890737
102,ilulissat,69.2167,-51.1,39.22,93,75,4.61,GL,1724890798
103,singkil,-7.9855,111.4161,76.6,74,70,6.02,ID,1724890798
104,morehead city,34.7229,-76.726,82.44,86,0,6.91,US,1724890799
105,petropavlovsk-kamchatsky,53.0452,158.6483,68.59,43,0,11.18,RU,1724890728
106,tenabo,20.05,-90.2333,84.34,68,83,4.97,MX,1724890799
107,tolanaro,-25.0319,46.9987,65.23,85,0,13.51,MG,1724890799
108,hawaiian paradise park,19.5933,-154.9731,81.91,86,75,10.36,US,1724890740
109,talnakh,69.4865,88.3972,52.99,96,90,5.75,RU,1724890726
110,susuman,62.7833,148.1667,41.29,65,93,4.25,RU,1724890800
111,ambovombe,-25.1667,46.0833,68.32,67,0,8.86,MG,1724890800
112,ash shatrah,31.4117,46.1742,95.7,17,0,21.79,IQ,1724890800
113,xichang,27.8964,102.2634,69.87,85,22,0.16,CN,1724890800
114,sumbawa besar,-8.5,117.4333,82.29,55,100,3.83,ID,1724890801
115,jijiga,9.35,42.8,64.63,82,100,16.37,ET,1724890801
116,codrington,-38.2667,141.9667,54.37,73,69,14.23,AU,1724890584
117,axim,4.8699,-2.2405,73.9,93,93,4.88,GH,1724890801
